feed_version,feed_start_date,feed_end_date,tipo_os,servico,consorcio,sentido,vista,ativacao,evento,extensao,versao_modelo
2026-02-28,2026-02-28,2026-03-04,Regular,623,Internorte,Ida,Penha - Saens Peña,Automática.,[desvio_feira],22.386,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,623,Internorte,Volta,Penha - Saens Peña,Automática.,[desvio_feira],22.549,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,623,Internorte,Ida,Penha - Saens Peña,Automática.,[desvio_feira],22.386,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,623,Internorte,Volta,Penha - Saens Peña,Automática.,[desvio_feira],22.549,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,628,Internorte,Ida,Penha - Nova América,Automática.,[desvio_feira],7.2,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,628,Internorte,Volta,Penha - Nova América,Automática.,[desvio_feira],8.604,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,628,Internorte,Ida,Penha - Nova América,Automática.,[desvio_feira],7.2,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,628,Internorte,Volta,Penha - Nova América,Automática.,[desvio_feira],8.604,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,731,Santa Cruz,Volta,Campo Grande - Marechal Hermes,Automática.,[desvio_feira],28.366,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,731,Santa Cruz,Volta,Campo Grande - Marechal Hermes,Automática.,[desvio_feira],28.366,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,917,Internorte,Ida,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],30.45,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,917,Internorte,Ida,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],30.45,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,917,Internorte,Volta,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],28.044,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,917,Internorte,Volta,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],28.044,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,SV790,Santa Cruz,Volta,Campo Grande - Cascadura,Automática.,[desvio_feira],36.206,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,SV790,Santa Cruz,Volta,Campo Grande - Cascadura,Automática.,[desvio_feira],36.206,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,SV917,Internorte,Ida,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],29.306,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,SV917,Internorte,Volta,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],28.311,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,SV917,Internorte,Ida,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],29.306,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,SV917,Internorte,Volta,Padre Miguel - Bonsucesso,Automática.,[desvio_feira],28.311,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,473,Intersul,Volta,São Januário - Lido,Automática.,[desvio_januário],17.635,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,473,Intersul,Volta,São Januário - Lido,Automática.,[desvio_januário],17.635,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,473,Intersul,Ida,São Januário - Lido,Automática.,[desvio_januário],16.224,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,473,Intersul,Ida,São Januário - Lido,Automática.,[desvio_januário],16.224,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,608,Intersul,Ida,Grajaú - Saens Peña,Automática.,[desvio_lazer],4.306,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,608,Intersul,Ida,Grajaú - Saens Peña,Automática.,[desvio_lazer],4.306,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,608,Intersul,Volta,Grajaú - Saens Peña,Automática.,[desvio_lazer],4.925,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,608,Intersul,Volta,Grajaú - Saens Peña,Automática.,[desvio_lazer],4.925,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,435,Intersul,Ida,Grajaú - Gávea,Automática.,[desvio_maracanã],25.205,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,435,Intersul,Ida,Grajaú - Gávea,Automática.,[desvio_maracanã],25.205,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,117,Intersul,Ida,Central - Cosme Velho,Automática.,[desvio_túnel],9.247,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,117,Intersul,Ida,Central - Cosme Velho,Automática.,[desvio_túnel],9.247,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,117,Intersul,Volta,Central - Cosme Velho,Automática.,[desvio_túnel],7.238,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,117,Intersul,Volta,Central - Cosme Velho,Automática.,[desvio_túnel],7.238,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,355,Internorte,Volta,Madureira - Praça Tiradentes,Automática.,[desvio_túnel],32.301,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,355,Internorte,Volta,Madureira - Praça Tiradentes,Automática.,[desvio_túnel],32.301,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,426,Intersul,Ida,Usina - Jardim de Alah,Automática.,[desvio_túnel],24.891,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,426,Intersul,Volta,Usina - Jardim de Alah,Automática.,[desvio_túnel],28.434,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,426,Intersul,Ida,Usina - Jardim de Alah,Automática.,[desvio_túnel],24.891,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,426,Intersul,Volta,Usina - Jardim de Alah,Automática.,[desvio_túnel],28.434,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Regular,435,Intersul,Ida,Grajaú - Gávea,Automática.,[desvio_túnel],27.635,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,435,Intersul,Ida,Grajaú - Gávea,Automática.,[desvio_túnel],27.635,46a51eb33a14002098bdfb2eed9190b11b46d46f
2026-02-28,2026-02-28,2026-03-04,Verão,435,Intersul,Volta,Grajaú - Gávea,Automática.,[desvio_túnel],27.753,46a51eb33a14002098bdfb2eed9190b11b46d46f
